valueid,datavalue,valuedatetime,utc_offset
967917844,18.1,2025-06-04 22:15:00,-5
967923411,18.0,2025-06-04 22:30:00,-5
967928658,18.0,2025-06-04 22:45:00,-5
967934171,17.9,2025-06-04 23:00:00,-5
967939651,17.9,2025-06-04 23:15:00,-5
967945019,17.8,2025-06-04 23:30:00,-5
967950362,17.78,2025-06-04 23:45:00,-5
967955552,17.7,2025-06-05 00:00:00,-5
967961292,17.6,2025-06-05 00:15:00,-5
967966538,17.6,2025-06-05 00:30:00,-5
967971855,17.52,2025-06-05 00:45:00,-5
967977289,17.5,2025-06-05 01:00:00,-5
967983008,17.5,2025-06-05 01:15:00,-5
967988212,17.4,2025-06-05 01:30:00,-5
967993767,17.4,2025-06-05 01:45:00,-5
967999343,17.3,2025-06-05 02:00:00,-5
968004908,17.3,2025-06-05 02:15:00,-5
968010431,17.2,2025-06-05 02:30:00,-5
968015694,17.2,2025-06-05 02:45:00,-5
968021007,17.1,2025-06-05 03:00:00,-5
968026871,17.1,2025-06-05 03:15:00,-5
968032070,17.1,2025-06-05 03:30:00,-5
968037482,17.0,2025-06-05 03:45:00,-5
968042847,17.0,2025-06-05 04:00:00,-5
968048400,16.9,2025-06-05 04:15:00,-5
968053768,16.9,2025-06-05 04:30:00,-5
968059173,16.9,2025-06-05 04:45:00,-5
968064572,16.8,2025-06-05 05:00:00,-5
968070250,16.8,2025-06-05 05:15:00,-5
968075511,16.8,2025-06-05 05:30:00,-5
968080992,16.8,2025-06-05 05:45:00,-5
968086671,16.8,2025-06-05 06:00:00,-5
968092198,16.8,2025-06-05 06:15:00,-5
968097804,16.8,2025-06-05 06:30:00,-5
968103035,16.8,2025-06-05 06:45:00,-5
968108344,16.8,2025-06-05 07:00:00,-5
968114067,16.9,2025-06-05 07:15:00,-5
968119575,17.0,2025-06-05 07:30:00,-5
968124933,17.0,2025-06-05 07:45:00,-5
968130154,17.1,2025-06-05 08:00:00,-5
968141431,17.2,2025-06-05 08:30:00,-5
968147009,17.3,2025-06-05 08:45:00,-5
968152194,17.3,2025-06-05 09:00:00,-5
968157804,17.4,2025-06-05 09:15:00,-5
968163487,17.6,2025-06-05 09:30:00,-5
968168665,17.7,2025-06-05 09:45:00,-5
968174382,17.9,2025-06-05 10:00:00,-5
968179951,18.0,2025-06-05 10:15:00,-5
968185870,18.2,2025-06-05 10:30:00,-5
968191214,18.4,2025-06-05 10:45:00,-5
968196965,18.6,2025-06-05 11:00:00,-5
968202272,18.8,2025-06-05 11:15:00,-5
968207618,18.9,2025-06-05 11:30:00,-5
968212967,19.0,2025-06-05 11:45:00,-5
968218323,19.0,2025-06-05 12:00:00,-5
968223899,19.0,2025-06-05 12:15:00,-5
968229235,19.0,2025-06-05 12:30:00,-5
968235331,19.0,2025-06-05 12:45:00,-5
968240117,19.0,2025-06-05 13:00:00,-5
968245843,19.1,2025-06-05 13:15:00,-5
968251118,19.1,2025-06-05 13:30:00,-5
968256811,19.2,2025-06-05 13:45:00,-5
968262318,19.2,2025-06-05 14:00:00,-5
968267797,19.22,2025-06-05 14:15:00,-5
968273295,19.3,2025-06-05 14:30:00,-5
968278696,19.3,2025-06-05 14:45:00,-5
968284091,19.2,2025-06-05 15:00:00,-5
968289741,19.3,2025-06-05 15:15:00,-5
968295074,19.38,2025-06-05 15:30:00,-5
968300448,19.4,2025-06-05 15:45:00,-5
968305878,19.4,2025-06-05 16:00:00,-5
968311520,19.4,2025-06-05 16:15:00,-5
968316709,19.4,2025-06-05 16:30:00,-5
968322098,19.4,2025-06-05 16:45:00,-5
968327703,19.4,2025-06-05 17:00:00,-5
968333224,19.4,2025-06-05 17:15:00,-5
968338533,19.4,2025-06-05 17:30:00,-5
968343985,19.35,2025-06-05 17:45:00,-5
968349486,19.3,2025-06-05 18:00:00,-5
968355007,19.3,2025-06-05 18:15:00,-5
968360524,19.3,2025-06-05 18:30:00,-5
968365930,19.25,2025-06-05 18:45:00,-5
968371351,19.2,2025-06-05 19:00:00,-5
968376934,19.2,2025-06-05 19:15:00,-5
968382127,19.1,2025-06-05 19:30:00,-5
968387553,19.1,2025-06-05 19:45:00,-5
968392689,19.07,2025-06-05 20:00:00,-5
968398247,19.0,2025-06-05 20:15:00,-5
968403490,19.0,2025-06-05 20:30:00,-5
968408829,18.9,2025-06-05 20:45:00,-5
968414139,18.9,2025-06-05 21:00:00,-5
968419818,18.8,2025-06-05 21:15:00,-5
968424925,18.8,2025-06-05 21:30:00,-5
968430487,18.7,2025-06-05 21:45:00,-5
968435846,18.7,2025-06-05 22:00:00,-5
968441340,18.6,2025-06-05 22:15:00,-5
968446774,18.6,2025-06-05 22:30:00,-5
968452047,18.5,2025-06-05 22:45:00,-5
968457280,18.5,2025-06-05 23:00:00,-5
968462874,18.4,2025-06-05 23:15:00,-5
968468154,18.4,2025-06-05 23:30:00,-5
968473451,18.3,2025-06-05 23:45:00,-5
968478710,18.3,2025-06-06 00:00:00,-5
968484216,18.2,2025-06-06 00:15:00,-5
968489432,18.1,2025-06-06 00:30:00,-5
968495069,18.1,2025-06-06 00:45:00,-5
968500251,18.0,2025-06-06 01:00:00,-5
968505956,18.0,2025-06-06 01:15:00,-5
968511209,17.9,2025-06-06 01:30:00,-5
968516686,17.9,2025-06-06 01:45:00,-5
968522136,17.8,2025-06-06 02:00:00,-5
968527842,17.8,2025-06-06 02:15:00,-5
968533200,17.8,2025-06-06 02:30:00,-5
968538487,17.7,2025-06-06 02:45:00,-5
968543761,17.7,2025-06-06 03:00:00,-5
968549558,17.63,2025-06-06 03:15:00,-5
968554817,17.6,2025-06-06 03:30:00,-5
968560224,17.6,2025-06-06 03:45:00,-5
968565475,17.5,2025-06-06 04:00:00,-5
968571156,17.5,2025-06-06 04:15:00,-5
968576417,17.5,2025-06-06 04:30:00,-5
968581959,17.4,2025-06-06 04:45:00,-5
968587289,17.4,2025-06-06 05:00:00,-5
968593013,17.4,2025-06-06 05:15:00,-5
968598161,17.3,2025-06-06 05:30:00,-5
968603783,17.3,2025-06-06 05:45:00,-5
968609261,17.3,2025-06-06 06:00:00,-5
968615336,17.3,2025-06-06 06:15:00,-5
968620225,17.4,2025-06-06 06:30:00,-5
968625652,17.4,2025-06-06 06:45:00,-5
968630878,17.4,2025-06-06 07:00:00,-5
968636500,17.5,2025-06-06 07:15:00,-5
968641687,17.6,2025-06-06 07:30:00,-5
968647103,17.6,2025-06-06 07:45:00,-5
968652387,17.7,2025-06-06 08:00:00,-5
968658199,17.72,2025-06-06 08:15:00,-5
968664073,17.8,2025-06-06 08:30:00,-5
968668642,17.9,2025-06-06 08:45:00,-5
968673866,18.0,2025-06-06 09:00:00,-5
968679718,18.1,2025-06-06 09:15:00,-5
968684958,18.3,2025-06-06 09:30:00,-5
968690408,18.4,2025-06-06 09:45:00,-5
968695865,18.52,2025-06-06 10:00:00,-5
968701605,18.7,2025-06-06 10:15:00,-5
968707399,18.9,2025-06-06 10:30:00,-5
968712772,19.1,2025-06-06 10:45:00,-5
968718715,19.3,2025-06-06 11:00:00,-5
968723641,19.5,2025-06-06 11:15:00,-5
968728861,19.6,2025-06-06 11:30:00,-5
968734243,19.7,2025-06-06 11:45:00,-5
968739622,19.7,2025-06-06 12:00:00,-5
968744973,19.7,2025-06-06 12:15:00,-5
968750269,19.78,2025-06-06 12:30:00,-5
968755936,19.7,2025-06-06 12:45:00,-5
968761107,19.6,2025-06-06 13:00:00,-5
968766785,19.5,2025-06-06 13:15:00,-5
968771959,19.7,2025-06-06 13:30:00,-5
968777555,19.8,2025-06-06 13:45:00,-5
968782926,19.8,2025-06-06 14:00:00,-5
968788479,19.9,2025-06-06 14:15:00,-5
968793705,19.9,2025-06-06 14:30:00,-5
968799337,19.8,2025-06-06 14:45:00,-5
968804262,19.8,2025-06-06 15:00:00,-5
968809960,19.7,2025-06-06 15:15:00,-5
968815146,19.7,2025-06-06 15:30:00,-5
968820461,19.7,2025-06-06 15:45:00,-5
968825633,19.7,2025-06-06 16:00:00,-5
968831169,19.6,2025-06-06 16:15:00,-5
968836367,19.6,2025-06-06 16:30:00,-5
968841648,19.6,2025-06-06 16:45:00,-5
968847062,19.6,2025-06-06 17:00:00,-5
968852686,19.7,2025-06-06 17:15:00,-5
968857881,19.6,2025-06-06 17:30:00,-5
968863435,19.6,2025-06-06 17:45:00,-5
968868739,19.6,2025-06-06 18:00:00,-5
968874182,19.6,2025-06-06 18:15:00,-5
968879616,19.5,2025-06-06 18:30:00,-5
968884798,19.5,2025-06-06 18:45:00,-5
968890066,19.4,2025-06-06 19:00:00,-5
968895673,19.4,2025-06-06 19:15:00,-5
968900843,19.3,2025-06-06 19:30:00,-5
968906219,19.2,2025-06-06 19:45:00,-5
968911278,19.2,2025-06-06 20:00:00,-5
968916892,19.1,2025-06-06 20:15:00,-5
968921873,19.1,2025-06-06 20:30:00,-5
968927336,19.0,2025-06-06 20:45:00,-5
968932708,18.9,2025-06-06 21:00:00,-5
968937993,18.9,2025-06-06 21:15:00,-5
968943308,18.8,2025-06-06 21:30:00,-5
968948685,18.8,2025-06-06 21:45:00,-5
968954070,18.7,2025-06-06 22:00:00,-5
968959728,18.62,2025-06-06 22:15:00,-5
968965106,18.6,2025-06-06 22:30:00,-5
968970324,18.6,2025-06-06 22:45:00,-5
968975525,18.5,2025-06-06 23:00:00,-5
968981161,18.5,2025-06-06 23:15:00,-5
968986338,18.4,2025-06-06 23:30:00,-5
968991715,18.4,2025-06-06 23:45:00,-5
968996898,18.4,2025-06-07 00:00:00,-5
969002478,18.3,2025-06-07 00:15:00,-5
969007663,18.3,2025-06-07 00:30:00,-5
969012987,18.3,2025-06-07 00:45:00,-5
969018447,18.2,2025-06-07 01:00:00,-5
969024182,18.2,2025-06-07 01:15:00,-5
969029398,18.1,2025-06-07 01:30:00,-5
969034814,18.1,2025-06-07 01:45:00,-5
969040220,18.1,2025-06-07 02:00:00,-5
969045611,18.0,2025-06-07 02:15:00,-5
969051106,18.0,2025-06-07 02:30:00,-5
969056446,18.0,2025-06-07 02:45:00,-5
969061658,17.9,2025-06-07 03:00:00,-5
969067280,17.9,2025-06-07 03:15:00,-5
969072607,17.9,2025-06-07 03:30:00,-5
969077881,17.9,2025-06-07 03:45:00,-5
969083182,17.9,2025-06-07 04:00:00,-5
969088602,17.87,2025-06-07 04:15:00,-5
969093816,17.8,2025-06-07 04:30:00,-5
969099293,17.8,2025-06-07 04:45:00,-5
969104551,17.8,2025-06-07 05:00:00,-5
969110106,17.8,2025-06-07 05:15:00,-5
969115402,17.8,2025-06-07 05:30:00,-5
969120931,17.8,2025-06-07 05:45:00,-5
969126302,17.8,2025-06-07 06:00:00,-5
969131874,17.8,2025-06-07 06:15:00,-5
969137198,17.8,2025-06-07 06:30:00,-5
969142487,17.8,2025-06-07 06:45:00,-5
969147722,17.8,2025-06-07 07:00:00,-5
969153213,17.8,2025-06-07 07:15:00,-5
969158481,17.8,2025-06-07 07:30:00,-5
969163760,17.8,2025-06-07 07:45:00,-5
969169102,17.8,2025-06-07 08:00:00,-5
969174584,17.8,2025-06-07 08:15:00,-5
969179724,17.85,2025-06-07 08:30:00,-5
969185053,17.9,2025-06-07 08:45:00,-5
969190431,17.9,2025-06-07 09:00:00,-5
969196147,17.9,2025-06-07 09:15:00,-5
969201253,17.9,2025-06-07 09:30:00,-5
969206838,17.9,2025-06-07 09:45:00,-5
969212295,17.98,2025-06-07 10:00:00,-5
969217712,18.0,2025-06-07 10:15:00,-5
969223663,18.0,2025-06-07 10:30:00,-5
969229071,18.0,2025-06-07 10:45:00,-5
969234350,18.0,2025-06-07 11:00:00,-5
969239779,18.0,2025-06-07 11:15:00,-5
969245139,18.0,2025-06-07 11:30:00,-5
969250519,18.0,2025-06-07 11:45:00,-5
969255657,18.1,2025-06-07 12:00:00,-5
969261104,18.1,2025-06-07 12:15:00,-5
969266406,18.1,2025-06-07 12:30:00,-5
969271857,18.1,2025-06-07 12:45:00,-5
969277222,18.1,2025-06-07 13:00:00,-5
969282835,18.1,2025-06-07 13:15:00,-5
969288115,18.3,2025-06-07 13:30:00,-5
969293676,18.4,2025-06-07 13:45:00,-5
969299347,18.5,2025-06-07 14:00:00,-5
969304552,18.6,2025-06-07 14:15:00,-5
969310071,18.6,2025-06-07 14:30:00,-5
969315464,18.7,2025-06-07 14:45:00,-5
969320761,18.7,2025-06-07 15:00:00,-5
969326302,18.8,2025-06-07 15:15:00,-5
969331642,18.8,2025-06-07 15:30:00,-5
969337169,18.8,2025-06-07 15:45:00,-5
969342295,18.7,2025-06-07 16:00:00,-5
969347725,19.05,2025-06-07 16:15:00,-5
969353017,22.3,2025-06-07 16:30:00,-5
969358281,22.8,2025-06-07 16:45:00,-5
969363671,22.0,2025-06-07 17:00:00,-5
969369267,21.9,2025-06-07 17:15:00,-5
969374540,21.7,2025-06-07 17:30:00,-5
969380084,21.6,2025-06-07 17:45:00,-5
969385472,21.5,2025-06-07 18:00:00,-5
969390800,21.4,2025-06-07 18:15:00,-5
969396291,21.2,2025-06-07 18:30:00,-5
969401665,21.17,2025-06-07 18:45:00,-5
969406906,21.1,2025-06-07 19:00:00,-5
969412562,21.0,2025-06-07 19:15:00,-5
969417907,20.9,2025-06-07 19:30:00,-5
969423264,20.8,2025-06-07 19:45:00,-5
969428472,20.8,2025-06-07 20:00:00,-5
969433848,20.62,2025-06-07 20:15:00,-5
969439135,20.6,2025-06-07 20:30:00,-5
969444385,20.5,2025-06-07 20:45:00,-5
969449754,20.4,2025-06-07 21:00:00,-5
969455237,20.3,2025-06-07 21:15:00,-5
969460518,20.3,2025-06-07 21:30:00,-5
969466023,20.2,2025-06-07 21:45:00,-5
969471478,20.1,2025-06-07 22:00:00,-5
969476828,20.1,2025-06-07 22:15:00,-5
969482280,20.0,2025-06-07 22:30:00,-5
969487611,19.9,2025-06-07 22:45:00,-5
969492917,19.8,2025-06-07 23:00:00,-5
969498557,19.8,2025-06-07 23:15:00,-5
969503852,19.7,2025-06-07 23:30:00,-5
969509210,19.6,2025-06-07 23:45:00,-5
969514506,19.6,2025-06-08 00:00:00,-5
969519951,19.5,2025-06-08 00:15:00,-5
969525251,19.4,2025-06-08 00:30:00,-5
969530634,19.3,2025-06-08 00:45:00,-5
969535891,19.3,2025-06-08 01:00:00,-5
969541639,19.2,2025-06-08 01:15:00,-5
969546926,19.1,2025-06-08 01:30:00,-5
969552527,19.1,2025-06-08 01:45:00,-5
969557986,19.0,2025-06-08 02:00:00,-5
969563445,18.9,2025-06-08 02:15:00,-5
969568943,18.9,2025-06-08 02:30:00,-5
969574290,18.8,2025-06-08 02:45:00,-5
969579433,18.7,2025-06-08 03:00:00,-5
969585052,18.7,2025-06-08 03:15:00,-5
969590384,18.6,2025-06-08 03:30:00,-5
969595710,18.52,2025-06-08 03:45:00,-5
969600915,18.5,2025-06-08 04:00:00,-5
969606409,18.4,2025-06-08 04:15:00,-5
969611737,18.4,2025-06-08 04:30:00,-5
969617008,18.4,2025-06-08 04:45:00,-5
969622355,18.3,2025-06-08 05:00:00,-5
969628038,18.3,2025-06-08 05:15:00,-5
969633348,18.3,2025-06-08 05:30:00,-5
969638902,18.3,2025-06-08 05:45:00,-5
969644261,18.25,2025-06-08 06:00:00,-5
969649777,18.23,2025-06-08 06:15:00,-5
969655258,18.2,2025-06-08 06:30:00,-5
969660520,18.2,2025-06-08 06:45:00,-5
969666004,18.2,2025-06-08 07:00:00,-5
969671390,18.2,2025-06-08 07:15:00,-5
969676708,18.2,2025-06-08 07:30:00,-5
969682005,18.2,2025-06-08 07:45:00,-5
969687209,18.3,2025-06-08 08:00:00,-5
969692677,18.3,2025-06-08 08:15:00,-5
969697901,18.4,2025-06-08 08:30:00,-5
969703283,18.4,2025-06-08 08:45:00,-5
969708448,18.5,2025-06-08 09:00:00,-5
969714027,18.5,2025-06-08 09:15:00,-5
969719193,18.5,2025-06-08 09:30:00,-5
969724782,18.5,2025-06-08 09:45:00,-5
969730208,18.5,2025-06-08 10:00:00,-5
969735539,18.4,2025-06-08 10:15:00,-5
969741500,18.4,2025-06-08 10:30:00,-5
969746837,18.4,2025-06-08 10:45:00,-5
969752158,18.4,2025-06-08 11:00:00,-5
969757329,18.4,2025-06-08 11:15:00,-5
969762681,18.4,2025-06-08 11:30:00,-5
969768024,18.4,2025-06-08 11:45:00,-5
969773134,18.4,2025-06-08 12:00:00,-5
969778553,18.4,2025-06-08 12:15:00,-5
969783903,18.4,2025-06-08 12:30:00,-5
969789131,18.4,2025-06-08 12:45:00,-5
969794587,18.4,2025-06-08 13:00:00,-5
969799985,18.4,2025-06-08 13:15:00,-5
969805301,18.4,2025-06-08 13:30:00,-5
969810868,18.4,2025-06-08 13:45:00,-5
969816328,18.3,2025-06-08 14:00:00,-5
969821827,18.3,2025-06-08 14:15:00,-5
969827311,18.3,2025-06-08 14:30:00,-5
969832717,18.3,2025-06-08 14:45:00,-5
969837870,18.3,2025-06-08 15:00:00,-5
969843458,18.3,2025-06-08 15:15:00,-5
969848808,18.3,2025-06-08 15:30:00,-5
969854080,18.3,2025-06-08 15:45:00,-5
969859328,18.2,2025-06-08 16:00:00,-5
969864765,18.2,2025-06-08 16:15:00,-5
969869996,18.2,2025-06-08 16:30:00,-5
969875310,18.2,2025-06-08 16:45:00,-5
969880673,18.1,2025-06-08 17:00:00,-5
969886182,18.1,2025-06-08 17:15:00,-5
969891479,18.1,2025-06-08 17:30:00,-5
969897041,18.0,2025-06-08 17:45:00,-5
969902431,18.0,2025-06-08 18:00:00,-5
969908016,18.0,2025-06-08 18:15:00,-5
969913620,17.9,2025-06-08 18:30:00,-5
969918884,17.9,2025-06-08 18:45:00,-5
969924154,17.8,2025-06-08 19:00:00,-5
969929712,17.8,2025-06-08 19:15:00,-5
969934963,17.8,2025-06-08 19:30:00,-5
969940466,17.7,2025-06-08 19:45:00,-5
969945570,17.7,2025-06-08 20:00:00,-5
969951147,17.7,2025-06-08 20:15:00,-5
969956429,17.62,2025-06-08 20:30:00,-5
969961837,17.6,2025-06-08 20:45:00,-5
969967087,17.6,2025-06-08 21:00:00,-5
969972676,17.6,2025-06-08 21:15:00,-5
969977975,17.5,2025-06-08 21:30:00,-5
969983517,17.5,2025-06-08 21:45:00,-5
969988882,17.5,2025-06-08 22:00:00,-5
969994496,17.5,2025-06-08 22:15:00,-5
969999958,17.47,2025-06-08 22:30:00,-5
970005202,17.4,2025-06-08 22:45:00,-5
970010642,17.4,2025-06-08 23:00:00,-5
970016305,17.4,2025-06-08 23:15:00,-5
970021510,17.4,2025-06-08 23:30:00,-5
970026863,17.3,2025-06-08 23:45:00,-5
970032020,17.3,2025-06-09 00:00:00,-5
970037477,17.3,2025-06-09 00:15:00,-5
970042611,17.3,2025-06-09 00:30:00,-5
970047785,17.25,2025-06-09 00:45:00,-5
970052994,17.2,2025-06-09 01:00:00,-5
970058469,17.2,2025-06-09 01:15:00,-5
970063545,17.2,2025-06-09 01:30:00,-5
970068972,17.2,2025-06-09 01:45:00,-5
970074240,17.2,2025-06-09 02:00:00,-5
970079555,17.1,2025-06-09 02:15:00,-5
970084855,17.1,2025-06-09 02:30:00,-5
970090044,17.1,2025-06-09 02:45:00,-5
970095018,17.1,2025-06-09 03:00:00,-5
970100501,17.1,2025-06-09 03:15:00,-5
970105687,17.0,2025-06-09 03:30:00,-5
970110868,17.0,2025-06-09 03:45:00,-5
970115936,17.0,2025-06-09 04:00:00,-5
970121175,17.0,2025-06-09 04:15:00,-5
970126338,17.0,2025-06-09 04:30:00,-5
970131534,17.0,2025-06-09 04:45:00,-5
970136697,16.9,2025-06-09 05:00:00,-5
970141902,16.9,2025-06-09 05:15:00,-5
970146999,16.9,2025-06-09 05:30:00,-5
970152298,16.9,2025-06-09 05:45:00,-5
970157464,16.9,2025-06-09 06:00:00,-5
970162783,16.9,2025-06-09 06:15:00,-5
970167983,16.9,2025-06-09 06:30:00,-5
970173139,16.9,2025-06-09 06:45:00,-5
970178123,16.8,2025-06-09 07:00:00,-5
970183542,16.8,2025-06-09 07:15:00,-5
970188597,16.8,2025-06-09 07:30:00,-5
970193763,16.9,2025-06-09 07:45:00,-5
970198794,16.9,2025-06-09 08:00:00,-5
970204061,16.9,2025-06-09 08:15:00,-5
970209201,16.9,2025-06-09 08:30:00,-5
970214326,17.0,2025-06-09 08:45:00,-5
970219534,17.0,2025-06-09 09:00:00,-5
970224776,17.0,2025-06-09 09:15:00,-5
970229770,17.0,2025-06-09 09:30:00,-5
970235214,17.1,2025-06-09 09:45:00,-5
970240353,17.1,2025-06-09 10:00:00,-5
970245650,17.13,2025-06-09 10:15:00,-5
970251098,17.2,2025-06-09 10:30:00,-5
970256563,17.2,2025-06-09 10:45:00,-5
970261807,17.3,2025-06-09 11:00:00,-5
970267248,17.38,2025-06-09 11:15:00,-5
970272517,17.4,2025-06-09 11:30:00,-5
970277799,17.4,2025-06-09 11:45:00,-5
970282982,17.4,2025-06-09 12:00:00,-5
970288372,17.5,2025-06-09 12:15:00,-5
970293645,17.5,2025-06-09 12:30:00,-5
970299141,17.5,2025-06-09 12:45:00,-5
970304141,17.6,2025-06-09 13:00:00,-5
970309614,17.6,2025-06-09 13:15:00,-5
970314832,17.6,2025-06-09 13:30:00,-5
970320187,17.6,2025-06-09 13:45:00,-5
970325639,17.7,2025-06-09 14:00:00,-5
970331058,17.7,2025-06-09 14:15:00,-5
970336431,17.7,2025-06-09 14:30:00,-5
970342145,17.7,2025-06-09 14:45:00,-5
970346852,17.7,2025-06-09 15:00:00,-5
970352316,17.7,2025-06-09 15:15:00,-5
970357505,17.7,2025-06-09 15:30:00,-5
970362756,17.7,2025-06-09 15:45:00,-5
970367899,17.8,2025-06-09 16:00:00,-5
970373361,17.8,2025-06-09 16:15:00,-5
970378665,17.8,2025-06-09 16:30:00,-5
970382333,17.8,2025-06-09 16:45:00,-5
970387775,17.8,2025-06-09 17:00:00,-5
970393145,17.8,2025-06-09 17:15:00,-5
970398345,17.8,2025-06-09 17:30:00,-5
970403824,17.8,2025-06-09 17:45:00,-5
970409278,17.8,2025-06-09 18:00:00,-5
970414669,17.8,2025-06-09 18:15:00,-5
970420097,17.78,2025-06-09 18:30:00,-5
970425534,17.77,2025-06-09 18:45:00,-5
970430757,17.7,2025-06-09 19:00:00,-5
970436242,17.7,2025-06-09 19:15:00,-5
970441471,17.7,2025-06-09 19:30:00,-5
970446791,17.6,2025-06-09 19:45:00,-5
970452013,17.6,2025-06-09 20:00:00,-5
970457356,17.6,2025-06-09 20:15:00,-5
970462622,17.6,2025-06-09 20:30:00,-5
970467899,17.6,2025-06-09 20:45:00,-5
970473268,17.6,2025-06-09 21:00:00,-5
970478825,17.6,2025-06-09 21:15:00,-5
970483852,17.6,2025-06-09 21:30:00,-5
970489284,17.5,2025-06-09 21:45:00,-5
970494703,17.5,2025-06-09 22:00:00,-5
970500106,17.5,2025-06-09 22:15:00,-5
970505551,17.5,2025-06-09 22:30:00,-5
970510927,17.5,2025-06-09 22:45:00,-5
970516091,17.5,2025-06-09 23:00:00,-5
970521609,17.5,2025-06-09 23:15:00,-5
970526872,17.5,2025-06-09 23:30:00,-5
970532172,17.4,2025-06-09 23:45:00,-5
970537367,17.4,2025-06-10 00:00:00,-5
970542703,17.4,2025-06-10 00:15:00,-5
970548055,17.4,2025-06-10 00:30:00,-5
970553245,17.4,2025-06-10 00:45:00,-5
970558517,17.4,2025-06-10 01:00:00,-5
970564171,17.33,2025-06-10 01:15:00,-5
970569429,17.3,2025-06-10 01:30:00,-5
970574900,17.3,2025-06-10 01:45:00,-5
970580382,17.3,2025-06-10 02:00:00,-5
970585749,17.3,2025-06-10 02:15:00,-5
970591302,17.3,2025-06-10 02:30:00,-5
970596663,17.3,2025-06-10 02:45:00,-5
970601892,17.25,2025-06-10 03:00:00,-5
970607498,17.2,2025-06-10 03:15:00,-5
970612763,17.2,2025-06-10 03:30:00,-5
970618095,17.2,2025-06-10 03:45:00,-5
970623323,17.2,2025-06-10 04:00:00,-5
970629270,17.2,2025-06-10 04:15:00,-5
970634453,17.2,2025-06-10 04:30:00,-5
970639788,17.1,2025-06-10 04:45:00,-5
970645135,17.1,2025-06-10 05:00:00,-5
970650634,17.1,2025-06-10 05:15:00,-5
970655791,17.1,2025-06-10 05:30:00,-5
970661346,17.1,2025-06-10 05:45:00,-5
970666795,17.1,2025-06-10 06:00:00,-5
970672169,17.1,2025-06-10 06:15:00,-5
970677568,17.1,2025-06-10 06:30:00,-5
970682944,17.1,2025-06-10 06:45:00,-5
970688109,17.1,2025-06-10 07:00:00,-5
970693502,17.1,2025-06-10 07:15:00,-5
970698704,17.1,2025-06-10 07:30:00,-5
970703627,17.1,2025-06-10 07:45:00,-5
970708554,17.1,2025-06-10 08:00:00,-5
970713702,17.1,2025-06-10 08:15:00,-5
970718716,17.17,2025-06-10 08:30:00,-5
